Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist,Cotiviti,4.0,409,"['Hybrid', 'Hyderabad']",Not disclosed,4-9 Yrs,7 Days Ago,"['AI ML', 'NLP', 'Artificial Intelligence', 'Pyhton', 'Machine Learning Algorithms', 'Machine Learning', 'Python', 'Aiml']",This position will require applying your knowledge and experience to real world problem...
Data Scientist,Worleyparsons,4.1,920,"['Mumbai', 'Navi Mumbai']",Not disclosed,5-10 Yrs,11 Days Ago,"['Data analysis', 'Architecture', 'data science', 'Consulting', 'Machine learning', 'Data structures', 'Data quality', 'Information technology']",Experience in supervised / semi-supervised and unsupervised machine learning algorithms...
Data Scientist I,Worleyparsons,4.1,920,"['Mumbai', 'Navi Mumbai']",Not disclosed,4-7 Yrs,11 Days Ago,"['Training', 'Data analysis', 'Architecture', 'data science', 'Machine learning', 'Data structures', 'Data quality', 'Information technology']",Understanding business objectives and developing models that help to achieve t...
Data Scientist,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,3.6,279,['Chennai'],Not disclosed,5-10 Yrs,11 Days Ago,"['Operations research', 'Technical writing', 'Risk analytics', 'Analytical', 'HTML', 'Business solutions', 'Financial services', 'Monitoring']",masters degree or higher with concentration in a quantitative discipline such as (Math ...
Data Scientist - ITG,Blue Yonder,4.1,448,['Hyderabad'],Not disclosed,6-8 Yrs,13 Days Ago,"['NoSQL', 'data science', 'Artificial Intelligence', 'Machine learning', 'Data quality', 'big data', 'Monitoring', 'SQL']","The Data Scientist will be responsible for designing, developing, and deploying mach..."
Data Scientist,Roblox,4.3,5,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,5-6 Yrs,10 Days Ago,"['SAN', 'Prototype', 'People development', 'Data management', 'Analytical', 'Genetics', 'Operations', 'Analytics']","5+ years of experience as a data scientist, data engineer, or related roleExperience ma..."
Data Scientist,Lingaro Sp Z Oo,4.1,11,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-7 Yrs,11 Days Ago,"['Supply chain', 'Data analysis', 'Coding', 'Agile', 'Data processing', 'FMCG', 'Data mining', 'Monitoring']","Experience with business requirements gathering, transforming them into technical plan,..."
Data Scientist- LLM/NLP,Simetrik,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,2-3 Yrs,10 Days Ago,"['Computer science', 'Training', 'continuous integration', 'Data analysis', 'cassandra', 'Machine learning', 'Natural language processing', 'data privacy']","Bachelors or Masters degree in Computer Science, Engineering, Mathematics, or relate..."
Data Scientist,Intense Technologies,4.0,125,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,3-7 Yrs,13 Days Ago,"['Computer science', 'Training', 'data science', 'Machine learning', 'Programming', 'Natural language processing', 'Research', 'Python']","Bachelors or Masters degree in Computer Science, Data Science, AI, Machine Learning, or..."
Data Scientist,TransOrg,2.8,28,"['Bangalore Rural', 'Gurgaon/ Gurugram', 'Mumbai (All Areas)']",Not disclosed,2-5 Yrs,12 Days Ago,"['Natural Language Processing', 'Machine Learning', 'Python', 'SQL', 'Logistic Regression', 'predictive modeling', 'Statistical Modeling', 'Deep Learning']","Bachelors in Computer Science/ Engineering, Statistics, Math or related quantitative de..."
